post_date,price,mfdate,mileage,gear_box,condition,fuel,body_style,origin,district,city,car_age,is_imported
2025,295000000,2022,30000.0,Số sàn,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Nam Từ Liêm,Hà Nội,3,0
2025,1115000000,2022,36000.0,Tự động,Đã sử dụng,Dầu,Suv / cross over,Nhập khẩu,Quận Bắc Từ Liêm,Hà Nội,3,1
2025,745000000,2019,81000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Thanh Xuân,Hà Nội,6,0
2025,1719000000,2022,33000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Thanh Xuân,Hà Nội,3,0
2025,595000000,2021,71000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Nam Từ Liêm,Hà Nội,4,0
2025,300000000,2020,780.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Huyện Gia Lâm,Hà Nội,5,0
2025,1939000000,2024,9999.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Thanh Xuân,Hà Nội,1,0
2025,1190000000,2020,60000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Tây Hồ,Hà Nội,5,0
2025,370000000,2023,60000.0,Số sàn,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Hoàng Mai,Hà Nội,2,0
2025,890000000,2018,70000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Bắc Từ Liêm,Hà Nội,7,0
2025,525000000,2018,120000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Nam Từ Liêm,Hà Nội,7,0
2025,350000000,2023,40000.0,Tự động,Đã sử dụng,Xăng,Sedan,Nhập khẩu,Quận Hoàng Mai,Hà Nội,2,1
2025,2179000000,2025,2700.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Thanh Xuân,Hà Nội,0,0
2025,655000000,2016,50000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Tây Hồ,Hà Nội,9,0
2025,451000000,2020,80000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Nhập khẩu,Quận Nam Từ Liêm,Hà Nội,5,1
